2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`domain_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`event_status`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`org_name`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`idm_hierarchy_code`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`province`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`city`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`district`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`bind_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`unbind_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`collect_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`admin_principal_name`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`admin_principal_phone`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`allocation_status`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`batch_no`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`mac_addr`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`sim_number`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`longitude`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`latitude`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`voltage`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`collect_fre`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`send_fre`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`synchronization_fre`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`pull_fre`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`target_address`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`electric_current_range`, dataType=varchar, characterSetName=utf8, columnKey=}
